"","app_date","applicantID","loan_sequence","disp_date","twoDigits_zip","addrZip","clientID","addrCity","Latitude","Longtiude","repayStatus","delinqDays","age","appGender","appCivilStatus","appDependents","appIncome","requestedAmt_loan1","requestedTerm_loan1","actualAmt_loan1","actualTerm_loan1","scoreProxy","starting_state","game_count","game_dummy","stadium","nn.dists","lat","long","dif_metric","nn.dists.sq","check","obs","meters","mi","near_club_1","near_club_med","near_club_mean","near_club_3","loan_rt","weekday","month","city","game","Final Comp","near_club_1_game_st","near_club_med_game_st","near_club_mean_game_st","near_club_3_game_st"
"45",2018-11-21,102980,1,2018-11-22,"52",52767,117599,"Huixquilucan",19.3428,-99.3567,"1",0,39,"1","single",1,15000,1500,30,1500,30,"1",100,0,0,6,0.164860729101873,19.3319,-99.1922,0.0271790600000013,0.0271790600000013,-3.46944695195361e-18,45,17321.5375932644,10.7631312173092,0,1,1,1,0.1,"4","11",NA,0,NA,0,0,0,0
"46",2018-11-21,102984,1,2018-11-26,"38",38020,124191,"Celaya",20.4703,-100.7575,"1",0,43,"1","single",1,8400,2000,28,2000,28,"3",100,0,0,5,0.405674993067108,20.5777,-100.3663,0.164572199999998,0.164572199999998,2.77555756156289e-17,46,42500.2442438507,26.4084930740867,0,0,1,1,0.238095238095238,"4","11",NA,0,NA,0,0,0,0
"47",2018-11-21,102999,1,2018-11-26,"43",43630,159,"Tulancingo de bravo",20.0902,-98.3509,"1",0,31,"1","single",2,8000,1500,29,1500,29,"2",100,0,0,16,0.405677408786834,20.1052,-98.7563,0.16457416,0.16457416,0,47,42413.804614215,26.354781844865,0,0,1,1,0.1875,"4","11",NA,0,NA,0,0,0,0
"48",2018-11-21,103082,1,2018-11-22,"31",31135,120945,"Chihuahua",28.7137,-106.209,"0",335,37,"0","married",2,7000,1500,23,1500,23,"1",100,0,0,4,4.18604039158726,25.6283,-103.38,17.52293416,17.52293416,0,48,443200.233724431,275.392542113184,0,0,0,0,0.214285714285714,"4","11",NA,0,NA,0,0,0,0
"49",2018-11-21,103084,3,2018-11-22,"45",45402,12931,"Tonala",20.6069,-103.1714,"1",0,31,"0","single",0,10500000,3000,30,2000,30,NA,100,0,0,17,0.18495904952177,20.705,-103.3282,0.0342098499999966,0.0342098499999966,0,49,19647.3116494188,12.208303807411,0,1,1,1,0.00019047619047619,"4","11",NA,0,NA,0,0,0,0
"50",2018-11-21,103093,1,2018-11-22,"62",62790,126517,"Xochitepec",18.7344,-99.1914,"1",0,30,"1","single",0,6500,1500,30,1500,30,"1",100,0,0,13,0.569969350053142,19.3029,-99.1505,0.324865060000001,0.324865060000001,5.55111512312578e-17,50,63431.3461601927,39.4145091529402,0,0,1,1,0.230769230769231,"4","11",NA,0,NA,0,0,0,0
"51",2018-11-21,103095,1,2018-11-23,"24",24114,126527,"Carmen",18.6578,-91.8161,"1",0,32,"1","single",2,14700,1500,23,1500,23,"3",100,0,0,3,4.33856675182023,19.1643,-96.125,18.8231614599999,18.82316146,-3.5527136788005e-15,51,457250.020889527,284.122696813307,0,0,0,0,0.102040816326531,"4","11",NA,0,NA,0,0,0,0
"52",2018-11-21,103097,1,2018-11-22,"37",37545,126089,"Lev=n",21.0662,-101.6098,"0",331,34,"1","single",0,15000,1500,10,1500,10,"3",100,0,0,11,0.0687379080275221,21.1155,-101.6577,0.00472490000000009,0.00472490000000009,8.67361737988404e-19,52,7407.38631003177,4.60274790288676,1,1,1,1,0.1,"4","11",NA,0,NA,0,0,0,0
"53",2018-11-22,103197,1,2018-11-22,"55",55076,126580,"Ecatepec de Morelos",19.5729,-99.0433,"1",0,37,"0","married",2,14000,3000,22,1500,22,"1",100,0,0,6,0.283288210132365,19.3319,-99.1922,0.0802522099999991,0.0802522099999991,0,53,31048.6158114856,19.2927633759713,0,1,1,1,0.107142857142857,"5","11",NA,0,NA,0,0,0,0
"54",2018-11-22,103219,1,2018-11-22,"54",54605,125689,"Tepotzotlv°n",19.7099,-99.2019,"1",0,29,"1","single",1,6000,1500,23,1500,23,"3",100,0,0,6,0.378124437189664,19.3319,-99.1922,0.14297809,0.14297809,-2.77555756156289e-17,54,42091.0732689425,26.1542453856503,0,0,1,1,0.25,"5","11",NA,0,NA,0,0,0,0
